invoice_id,vendor_name,vendor_gstin,amount,tax_amount,tax_rate,invoice_date,submission_date,po_number,bank_account,payment_terms,is_anomaly,anomaly_type
INV-09901,Saksoft Ltd,80AHUXH4281M5Z6,2087347.11,375722.48,0.18,2023-09-18,2023-09-27,PO-EXP-9996,HEZJ2452796367589,Net 45,1,expired_po
INV-01088,Compuage Infocom,13KLEPU6075O6Y2,1104876.5,198877.77,0.18,2023-05-22,2023-05-27,PO-0340-JDBZ,ELRI9763961994631,Net 30,0,none
INV-00064,HCL Services Pvt Ltd,06XCPDQ3781A7P5,123018.76,22143.38,0.18,2024-08-19,2024-08-28,PO-9598-QXHC,YREG7445396518713,Net 45,0,none
INV-09691,Mindtree Solutions,41KAGCW4268B9S1,281690.6,50704.31,0.18,2023-04-15,2024-07-05,PO-2698-FFTB,LHQZ3386182735187,Net 45,1,weekend_invoice
INV-02107,Compuage Infocom,13KLEPU6075O6Y2,791098.62,142397.75,0.18,2024-02-29,2024-03-01,PO-4779-BUWZ,ELRI9763961994631,Net 30,0,none
INV-00009,Cigniti Technologies,59ECPPK4618N3Z7,150915.62,27164.81,0.18,2024-10-17,2024-10-29,PO-8941-FSHY,SOEQ8611660011752,Net 30,0,none
INV-04715,Dynacons Systems,26LIUNY2215P3K8,1272832.29,229109.81,0.18,2023-03-31,2023-04-11,PO-8017-JHGG,BVBH8217355343820,Net 45,0,none
INV-02062,Tech Mahindra Ltd,50ATKML8414N4Z6,544087.43,97935.74,0.18,2024-01-08,2024-01-14,PO-9896-OMTP,XBCB1352237333077,Net 30,0,none
INV-09818,KPIT Technologies,38VEAAX3653Y0Y0,606867.83,109236.21,0.18,2025-09-15,2023-11-25,PO-7780-OPSL,FKSA0820239639002,Net 60,1,future_dated
INV-01755,Accelya Solutions,24BSBQF3370E9Q0,1779321.3,320277.83,0.18,2024-11-13,2024-11-28,PO-9788-VFFR,TBBS8321851120284,Net 60,0,none
INV-03240,Supertron Electronics,84APENV3195F9K0,441305.47,79434.98,0.18,2023-01-24,2023-01-25,PO-7153-IEKM,VZIL5372592617511,Net 45,0,none
INV-07211,Accelya Solutions,24BSBQF3370E9Q0,1821280.29,327830.45,0.18,2023-06-02,2023-06-09,PO-4399-NLWD,TBBS8321851120284,Net 30,0,none
INV-07075,Accelya Solutions,24BSBQF3370E9Q0,1967713.14,354188.37,0.18,2024-04-12,2024-04-22,PO-8727-YEFK,TBBS8321851120284,Net 30,0,none
INV-03767,Redington India,74KICEN7451I0R9,740662.18,133319.19,0.18,2023-04-20,2023-04-21,PO-8046-RGAE,SIXB8636619074973,Net 30,0,none
INV-03718,KALS Info Systems,94MSBNM9654Q1J8,298418.66,53715.36,0.18,2024-06-11,2024-06-21,PO-4665-RQQE,DGBS9006011018028,Net 45,0,none
INV-01605,Mindtree Solutions,41KAGCW4268B9S1,316208.36,56917.5,0.18,2024-01-19,2024-01-24,PO-4471-NWAJ,LHQZ3386182735187,Net 45,0,none
INV-09002,Intellect Design,01NIEOP0002L0N2,2016204.91,362916.88,0.18,2024-09-02,2024-09-04,PO-4966-BFKF,BSXL3681265929761,Net 45,1,amount_above_po
INV-07568,Ramsol Pvt Ltd,74BYZSJ6323U1B9,1800872.37,324157.03,0.18,2024-07-15,2024-07-19,PO-0177-XHXJ,IYYO4074583251825,Net 45,0,none
INV-04294,Tech Mahindra Ltd,50ATKML8414N4Z6,604630.44,108833.48,0.18,2024-08-20,2024-08-28,PO-3510-CBYL,XBCB1352237333077,Net 60,0,none
INV-06193,Happiest Minds,08NATVA6271Q6X4,302222.2,54400.0,0.18,2024-01-23,2024-02-05,PO-7355-TJCS,IYWI6974159329184,Net 60,0,none
INV-03573,Subex Ltd,30VHFNS3751Q1W1,1804270.96,324768.77,0.18,2023-07-11,2023-07-21,PO-3182-KZUB,ELVQ0484796554552,Net 45,0,none
INV-02159,Hexaware Technologies,73UYSOI6520N3R6,671529.74,120875.35,0.18,2024-12-05,2024-12-17,PO-9743-RRRC,WJUQ9385943177536,Net 30,0,none
INV-06865,Wipro Technologies,69NFNFG9475I4R1,335770.43,60438.68,0.18,2024-07-05,2024-07-20,PO-1596-OPPA,ZUPT8856179560914,Net 60,0,none
INV-07800,Mphasis Corp,14FZNUS4574A1G9,488596.27,87947.33,0.18,2023-10-04,2023-10-07,PO-1017-OVAU,XQWR8677855643397,Net 45,0,none
INV-09289,PSL ENGINEERING PRIVATE LIMITED,82FUNYS1647S5P4,263513.38,47432.41,0.18,2023-09-18,2023-09-21,PO-0870-PNJV,LMSR5287549482934,Net 30,1,blacklisted_vendor
INV-04013,Zensar IT Services,09TZXPP4803A4M3,207978.27,37436.09,0.18,2023-06-15,2023-06-30,PO-8264-YLCB,MTDJ1912550590581,Net 30,0,none
INV-01829,Infostretch Corp,54JDQHL2140L0A3,84526.96,15214.85,0.18,2023-05-08,2023-05-13,PO-0170-VOQW,ATOL2872376618802,Net 45,0,none
INV-04470,Datamatics Global,72BCSBC0104B2T5,1871364.21,336845.56,0.18,2024-09-11,2024-09-23,PO-7191-XEJL,MAPT2682906393328,Net 30,0,none
INV-04766,Supertron Electronics,84APENV3195F9K0,532601.41,95868.25,0.18,2024-07-15,2024-07-19,PO-4707-PRRI,VZIL5372592617511,Net 45,0,none
INV-08142,HCL Services Pvt Ltd,06XCPDQ3781A7P5,100840.51,18151.29,0.18,2024-12-31,2025-01-15,PO-9583-CORI,YREG7445396518713,Net 30,0,none
INV-06338,Hexaware Technologies,73UYSOI6520N3R6,559575.58,100723.6,0.18,2023-12-04,2023-12-16,PO-0477-BRYU,WJUQ9385943177536,Net 30,0,none
INV-07086,Sonata Software,32OVHHT7499K8D7,1213923.23,218506.18,0.18,2023-10-18,2023-10-26,PO-0154-TGKZ,YADT3226199171827,Net 30,0,none
INV-05034,Ramsol Pvt Ltd,74BYZSJ6323U1B9,1187000.49,213660.09,0.18,2024-06-05,2024-06-12,PO-7534-IWUN,IYYO4074583251825,Net 60,0,none
INV-04712,Xoriant Solutions,76CCDAX0817X2D1,1147070.66,206472.72,0.18,2023-01-09,2023-01-18,PO-4472-LWJG,KMUY6413692964089,Net 45,0,none
INV-09761,Persistent Systems,64YNHIH3193U2F2,1829598.7,329327.77,0.18,2025-03-26,2024-05-05,PO-4707-PRRI,QFQJ7666680899218,Net 30,1,future_dated
INV-03108,Redington India,74KICEN7451I0R9,746669.05,134400.43,0.18,2024-02-05,2024-02-15,PO-7587-QZEZ,SIXB8636619074973,Net 45,0,none
INV-00251,Infosys BPM Ltd,68WMBDP4359A6Y4,1125080.86,202514.55,0.18,2023-05-29,2023-06-08,PO-0380-KSKA,FQYO8585635822023,Net 30,0,none
INV-09718,KPIT Technologies,38VEAAX3653Y0Y0,427932.42,77027.84,0.18,2024-02-03,2023-09-26,PO-3685-JSXP,FKSA0820239639002,Net 45,1,weekend_invoice
INV-01342,Infosys BPM Ltd,68WMBDP4359A6Y4,1783355.27,321003.95,0.18,2024-07-15,2024-07-24,PO-3008-XWDS,FQYO8585635822023,Net 60,0,none
INV-03375,Cybage Software,98HJBYU1008W1C4,1333050.97,239949.17,0.18,2023-08-21,2023-08-22,PO-4374-PXYU,WGLM6397054812707,Net 30,0,none
INV-01085,Compuage Infocom,13KLEPU6075O6Y2,999456.31,179902.14,0.18,2024-10-02,2024-10-13,PO-1084-JNHX,ELRI9763961994631,Net 45,0,none
INV-06299,Infosys BPM Ltd,68WMBDP4359A6Y4,1185866.68,213456.0,0.18,2023-10-13,2023-10-28,PO-3391-WACY,FQYO8585635822023,Net 30,0,none
INV-02648,Sonata Software,32OVHHT7499K8D7,967487.74,174147.79,0.18,2024-04-24,2024-04-28,PO-0328-ETOX,YADT3226199171827,Net 45,0,none
INV-06555,Kellton Tech,86ZEYPH2930B1L1,249644.86,44936.07,0.18,2023-06-14,2023-06-26,PO-3860-RFOV,HNPR8007103208557,Net 30,0,none
INV-03387,Kellton Tech,86ZEYPH2930B1L1,194874.79,35077.46,0.18,2024-06-26,2024-07-04,PO-9562-ZJPY,HNPR8007103208557,Net 30,0,none
INV-04593,Kellton Tech,86ZEYPH2930B1L1,186790.4,33622.27,0.18,2023-06-12,2023-06-18,PO-9471-SQAY,HNPR8007103208557,Net 30,0,none
INV-07977,Infosys BPM Ltd,68WMBDP4359A6Y4,1682592.42,302866.64,0.18,2023-10-30,2023-11-06,PO-6261-OQSU,FQYO8585635822023,Net 45,0,none
INV-09126,NewVendor_9126 IT Solutions Pvt Ltd,93OLKMG3891J0H0,4949831.61,890969.69,0.18,2024-09-09,2024-09-11,PO-4625-SWDO,VOLO8991356290778,Net 30,1,new_vendor_high_amount
INV-07276,Newgen Software,96WDAOF1307T2B5,516443.46,92959.82,0.18,2024-06-17,2024-06-24,PO-8677-INYU,ZVAV2798537321913,Net 45,0,none
INV-01624,Zensar IT Services,09TZXPP4803A4M3,214501.45,38610.26,0.18,2023-04-03,2023-04-06,PO-6848-TGID,MTDJ1912550590581,Net 45,0,none
INV-03038,Saksoft Ltd,80AHUXH4281M5Z6,1154539.78,207817.16,0.18,2024-10-31,2024-11-15,PO-1059-AHYP,HEZJ2452796367589,Net 45,0,none
INV-01307,Ingram Micro India,10XXYGH4786J3K5,354993.45,63898.82,0.18,2023-08-14,2023-08-17,PO-2671-CMBR,FXHM7550788670183,Net 45,0,none
INV-07980,Newgen Software,96WDAOF1307T2B5,646985.4,116457.37,0.18,2023-09-21,2023-09-28,PO-8418-NUYT,ZVAV2798537321913,Net 60,0,none
INV-03949,Birlasoft Ltd,60TTQUN5387R6H1,437290.57,78712.3,0.18,2023-06-05,2023-06-07,PO-5980-ZBRQ,VRVF2849035694298,Net 60,0,none
INV-08714,Ingram Micro India,10XXYGH4786J3K5,182082.22,32774.8,0.18,2023-10-30,2023-11-02,PO-8171-JQWY,FXHM7550788670183,Net 45,1,split_invoice
INV-03243,Savex Technologies,76UXAQM2870D6A5,680505.02,122490.9,0.18,2023-05-08,2023-05-11,PO-6029-RDGW,JBED3078188120744,Net 30,0,none
INV-00877,Saksoft Ltd,80AHUXH4281M5Z6,1984026.66,357124.8,0.18,2024-09-20,2024-10-01,PO-0054-SVIC,HEZJ2452796367589,Net 60,0,none
INV-06009,KPIT Technologies,38VEAAX3653Y0Y0,597561.97,107561.15,0.18,2023-06-05,2023-06-06,PO-9598-QXHC,FKSA0820239639002,Net 60,0,none
INV-O862l,Hexaware Technologies,73UYSOI6520N3R6,577490.37,103948.27,0.18,2023-08-07,2023-08-15,PO-8284-RLTN,WJUQ9385943177536,Net 30,1,near_duplicate
INV-09262,PSL ENGINEERING PRIVATE LIMITED,57RBEOD5581A1G5,970823.35,174748.2,0.18,2023-11-20,2023-11-23,PO-0340-JDBZ,CECH1613114646439,Net 30,1,blacklisted_vendor
INV-05247,Cyient Ltd,72RREQY3980C4W7,1992719.81,358689.57,0.18,2024-12-09,2024-12-19,PO-9954-RPCM,IECV9217915203127,Net 45,0,none
INV-05804,3i Infotech,68JFCCR6660P0N4,526543.54,94777.84,0.18,2023-10-03,2023-10-15,PO-1949-JEFV,XXJP5932125490162,Net 60,0,none
INV-06073,Mastech Digital,27OSVKU6942X0L4,1697170.4,305490.67,0.18,2023-08-25,2023-09-05,PO-3366-KYFH,GRRS8527255351787,Net 45,0,none
INV-09624,Ingram Micro India,,416700.66,75006.12,0.18,2023-04-25,2023-05-06,PO-5247-QHLB,FXHM7550788670183,Net 60,1,missing_gst_number
INV-06652,Cyient Ltd,72RREQY3980C4W7,1693638.58,304854.94,0.18,2024-01-01,2024-01-06,PO-7153-IEKM,IECV9217915203127,Net 60,0,none
INV-04362,Accelya Solutions,24BSBQF3370E9Q0,2182141.13,392785.4,0.18,2023-05-29,2023-06-11,PO-6230-WJPF,TBBS8321851120284,Net 60,0,none
INV-02559,Geometric Ltd,90XHMDH5605X3E0,112439.38,20239.09,0.18,2023-05-08,2023-05-10,PO-6391-ZNPD,ZVZR2605281559933,Net 30,0,none
INV-00118,Savex Technologies,76UXAQM2870D6A5,665900.12,119862.02,0.18,2024-12-02,2024-12-12,PO-0761-PZPG,JBED3078188120744,Net 60,0,none
INV-07984,Birlasoft Ltd,60TTQUN5387R6H1,644692.39,116044.63,0.18,2024-01-23,2024-01-31,PO-9788-VFFR,VRVF2849035694298,Net 60,0,none
INV-09145,NewVendor_9145 IT Solutions Pvt Ltd,60PPUWU9692S3K1,3608785.58,649581.4,0.18,2024-03-18,2024-03-20,PO-8595-DZKY,XBRS7886975192986,Net 30,1,new_vendor_high_amount
INV-02057,Datamatics Global,72BCSBC0104B2T5,1123371.14,202206.81,0.18,2024-12-30,2025-01-12,PO-9541-XQLG,MAPT2682906393328,Net 30,0,none
INV-03488,Accelya Solutions,24BSBQF3370E9Q0,1787625.8,321772.64,0.18,2024-04-15,2024-04-28,PO-4097-MYWU,TBBS8321851120284,Net 60,0,none
INV-05665,Nucleus Software,81IGLOX7451R2J4,842296.07,151613.29,0.18,2023-02-16,2023-02-19,PO-3513-GRAA,RZGA5670979487253,Net 30,0,none
INV-05044,Supertron Electronics,84APENV3195F9K0,631512.74,113672.29,0.18,2024-09-16,2024-09-18,PO-3685-JSXP,VZIL5372592617511,Net 30,0,none
INV-05418,Sonata Software,32OVHHT7499K8D7,1128658.75,203158.57,0.18,2023-08-30,2023-09-06,PO-1176-KLZF,YADT3226199171827,Net 60,0,none
INV-03779,Sonata Software,32OVHHT7499K8D7,1539945.28,277190.15,0.18,2024-06-13,2024-06-27,PO-5980-ZBRQ,YADT3226199171827,Net 30,0,none
INV-07952,Accelya Solutions,24BSBQF3370E9Q0,1572825.81,283108.65,0.18,2023-02-06,2023-02-18,PO-7355-TJCS,TBBS8321851120284,Net 30,0,none
INV-08071,HCL Services Pvt Ltd,06XCPDQ3781A7P5,95237.41,17142.73,0.18,2024-02-29,2024-03-12,PO-3431-DETM,YREG7445396518713,Net 60,0,none
INV-09375,Mindtree Solutions,41KAGCW4268B9S1,342361.19,61625.01,0.18,2024-02-12,2024-02-17,,LHQZ3386182735187,Net 45,1,missing_po
INV-07538,Mphasis Corp,14FZNUS4574A1G9,608545.88,109538.26,0.18,2023-05-22,2023-05-26,PO-1013-SJLH,XQWR8677855643397,Net 60,0,none
INV-09412,Onward Technologies,40LMVQR4946M6J5,59783.99,10761.12,0.18,2023-11-02,2023-11-13,,XVRP4921936514893,Net 30,1,missing_po
INV-09410,Cyient Ltd,72RREQY3980C4W7,1496025.3,269284.55,0.18,2024-04-10,2024-04-16,,IECV9217915203127,Net 45,1,missing_po
INV-02218,Ingram Micro India,10XXYGH4786J3K5,307634.06,55374.13,0.18,2024-08-22,2024-09-06,PO-9382-XPFK,FXHM7550788670183,Net 45,0,none
INV-04123,Newgen Software,96WDAOF1307T2B5,626706.19,112807.11,0.18,2023-03-07,2023-03-10,PO-0930-CPXA,ZVAV2798537321913,Net 45,0,none
INV-04363,Xoriant Solutions,76CCDAX0817X2D1,1090245.85,196244.25,0.18,2024-07-25,2024-08-02,PO-7123-BKWU,KMUY6413692964089,Net 60,0,none
INV-06973,Ramsol Pvt Ltd,74BYZSJ6323U1B9,1671238.51,300822.93,0.18,2023-12-25,2023-12-30,PO-4884-EZLL,IYYO4074583251825,Net 30,0,none
INV-03854,Ramsol Pvt Ltd,74BYZSJ6323U1B9,1514528.95,272615.21,0.18,2023-12-27,2023-12-29,PO-5247-QHLB,IYYO4074583251825,Net 45,0,none
INV-05559,Mindtree Solutions,41KAGCW4268B9S1,254565.65,45821.82,0.18,2024-04-15,2024-04-22,PO-9192-KWQI,LHQZ3386182735187,Net 60,0,none
INV-09230,Birlasoft Ltd,60TTQUN5387R6H1,361621.93,65091.95,0.18,2024-10-14,2024-10-17,PO-7881-EZJQ,ABUT5410462675706,Net 30,1,changed_bank_account
INV-02359,Ramsol Pvt Ltd,74BYZSJ6323U1B9,1616955.75,291052.03,0.18,2024-03-22,2024-03-27,PO-8647-NYTE,IYYO4074583251825,Net 60,0,none
INV-07202,TCS Digital Solutions,27KTEYT5863X9D1,1601281.16,288230.61,0.18,2023-04-19,2023-04-26,PO-4369-RUYQ,FAPF5400877480084,Net 60,0,none
INV-06001,Sonata Software,32OVHHT7499K8D7,1517036.74,273066.61,0.18,2024-08-13,2024-08-24,PO-0007-LCRC,YADT3226199171827,Net 60,0,none
INV-03410,Subex Ltd,30VHFNS3751Q1W1,2218435.62,399318.41,0.18,2024-02-19,2024-03-03,PO-8800-SGYR,ELVQ0484796554552,Net 60,0,none
INV-05512,NIIT Technologies,06ENXBW2738B9L4,1489089.88,268036.18,0.18,2023-12-14,2023-12-27,PO-0170-VOQW,JQRT0779311872435,Net 45,0,none
INV-06354,Birlasoft Ltd,60TTQUN5387R6H1,493395.58,88811.2,0.18,2023-08-17,2023-09-01,PO-6988-LPMR,VRVF2849035694298,Net 45,0,none
INV-07278,Xoriant Solutions,76CCDAX0817X2D1,1234832.8,222269.9,0.18,2024-09-06,2024-09-08,PO-5728-XXQU,KMUY6413692964089,Net 60,0,none
INV-03901,HCL Services Pvt Ltd,06XCPDQ3781A7P5,85912.04,15464.17,0.18,2023-09-04,2023-09-11,PO-0812-ZVPI,YREG7445396518713,Net 30,0,none
INV-05554,Sonata Software,32OVHHT7499K8D7,1164183.27,209552.99,0.18,2023-07-20,2023-07-29,PO-0340-JDBZ,YADT3226199171827,Net 45,0,none
INV-06377,Zensar IT Services,09TZXPP4803A4M3,329544.01,59317.92,0.18,2024-07-08,2024-07-19,PO-8017-JHGG,MTDJ1912550590581,Net 60,0,none
INV-07052,Accelya Solutions,24BSBQF3370E9Q0,1736430.73,312557.53,0.18,2024-05-20,2024-05-25,PO-6102-UIGF,TBBS8321851120284,Net 60,0,none
INV-02614,Sonata Software,32OVHHT7499K8D7,1264116.91,227541.04,0.18,2023-11-06,2023-11-16,PO-2673-LHGA,YADT3226199171827,Net 60,0,none
INV-07121,Tanla Platforms,59LWUTS7773W2B4,2241352.83,403443.51,0.18,2023-12-22,2024-01-02,PO-7777-NVMJ,HOSN7336413677532,Net 45,0,none
INV-02048,Softcell Technologies,35UAQEX7902T9I4,867670.89,156180.76,0.18,2023-11-20,2023-11-22,PO-2422-PSAC,ZAPZ4138823350355,Net 30,0,none
INV-03330,Wipro Technologies,69NFNFG9475I4R1,212659.61,38278.73,0.18,2023-06-19,2023-07-02,PO-7835-ACRP,ZUPT8856179560914,Net 30,0,none
INV-09650,3i Infotech,,538179.42,96872.3,0.18,2023-03-06,2023-03-08,PO-8100-XXPJ,XXJP5932125490162,Net 45,1,missing_gst_number
INV-06086,Nucleus Software,81IGLOX7451R2J4,681060.13,122590.82,0.18,2024-08-26,2024-08-31,PO-6053-VSCZ,RZGA5670979487253,Net 45,0,none
INV-03411,Accelya Solutions,24BSBQF3370E9Q0,1657178.96,298292.21,0.18,2024-10-01,2024-10-11,PO-4692-GXFE,TBBS8321851120284,Net 60,0,none
INV-06229,TCS Digital Solutions,27KTEYT5863X9D1,1765795.65,317843.22,0.18,2023-04-24,2023-05-05,PO-0794-DLWY,FAPF5400877480084,Net 30,0,none
INV-01620,Mphasis Corp,14FZNUS4574A1G9,667358.81,120124.59,0.18,2024-09-13,2024-09-19,PO-0380-KSKA,XQWR8677855643397,Net 60,0,none
INV-06802,Accelya Solutions,24BSBQF3370E9Q0,2036836.54,366630.58,0.18,2024-01-18,2024-01-19,PO-7191-XEJL,TBBS8321851120284,Net 45,0,none
INV-08992,Supertron Electronics,84APENV3195F9K0,193804.74,34884.85,0.18,2023-07-31,2023-08-06,PO-7789-GUMW,VZIL5372592617511,Net 30,1,amount_below_po
INV-07886,Nucleus Software,81IGLOX7451R2J4,785480.59,141386.51,0.18,2024-12-18,2025-01-01,PO-4472-LWJG,RZGA5670979487253,Net 30,0,none
INV-04419,Majesco Ltd,85BEHHA7355T6K4,1629136.73,293244.61,0.18,2024-08-14,2024-08-26,PO-0328-ETOX,XLJV8093123115690,Net 60,0,none
INV-05109,Infostretch Corp,54JDQHL2140L0A3,101234.92,18222.29,0.18,2023-08-10,2023-08-15,PO-5915-PSCJ,ATOL2872376618802,Net 60,0,none
INV-05999,Mindtree Solutions,41KAGCW4268B9S1,291053.5,52389.63,0.18,2023-03-20,2023-04-04,PO-1951-UUDU,LHQZ3386182735187,Net 30,0,none
INV-07325,Zensar IT Services,09TZXPP4803A4M3,223179.36,40172.28,0.18,2023-05-18,2023-05-25,PO-4966-BFKF,MTDJ1912550590581,Net 60,0,none
INV-03363,Mphasis Corp,14FZNUS4574A1G9,553373.86,99607.29,0.18,2023-11-13,2023-11-20,PO-1949-JEFV,XQWR8677855643397,Net 45,0,none
INV-01398,Mindtree Solutions,41KAGCW4268B9S1,318945.39,57410.17,0.18,2024-04-12,2024-04-22,PO-3234-RSBO,LHQZ3386182735187,Net 60,0,none
INV-02795,Infosys BPM Ltd,68WMBDP4359A6Y4,1246474.67,224365.44,0.18,2023-11-10,2023-11-11,PO-9219-RFLQ,FQYO8585635822023,Net 60,0,none
INV-04039,Intellect Design,01NIEOP0002L0N2,976920.06,175845.61,0.18,2023-03-17,2023-03-20,PO-7523-BHTT,BSXL3681265929761,Net 45,0,none
INV-03056,Zensar IT Services,09TZXPP4803A4M3,291507.78,52471.4,0.18,2024-06-06,2024-06-09,PO-9788-VFFR,MTDJ1912550590581,Net 45,0,none
INV-06570,Tanla Platforms,59LWUTS7773W2B4,1555606.46,280009.16,0.18,2024-08-05,2024-08-06,PO-7789-GUMW,HOSN7336413677532,Net 45,0,none
INV-01745,Datamatics Global,72BCSBC0104B2T5,1847549.75,332558.96,0.18,2024-11-11,2024-11-19,PO-5862-FRAZ,MAPT2682906393328,Net 60,0,none
INV-04488,Hexaware Technologies,73UYSOI6520N3R6,545988.6,98277.95,0.18,2024-04-22,2024-05-05,PO-1548-ZCWZ,WJUQ9385943177536,Net 45,0,none
INV-06295,Mindtree Solutions,41KAGCW4268B9S1,441435.61,79458.41,0.18,2024-08-09,2024-08-12,PO-7534-IWUN,LHQZ3386182735187,Net 30,0,none
INV-03178,Persistent Systems,64YNHIH3193U2F2,1819139.87,327445.18,0.18,2024-05-17,2024-05-19,PO-0055-NQML,QFQJ7666680899218,Net 60,0,none
INV-06010,Persistent Systems,64YNHIH3193U2F2,1672431.21,301037.62,0.18,2024-11-04,2024-11-17,PO-4824-DFKD,QFQJ7666680899218,Net 30,0,none
INV-06219,Xoriant Solutions,76CCDAX0817X2D1,1618898.39,291401.71,0.18,2023-05-02,2023-05-17,PO-6261-OQSU,KMUY6413692964089,Net 45,0,none
INV-01908,Accelya Solutions,24BSBQF3370E9Q0,1310832.52,235949.85,0.18,2023-12-08,2023-12-21,PO-0702-WIHQ,TBBS8321851120284,Net 30,0,none
INV-00341,Supertron Electronics,84APENV3195F9K0,407068.38,73272.31,0.18,2024-06-14,2024-06-21,PO-1276-DLBK,VZIL5372592617511,Net 30,0,none
INV-07450,Ingram Micro India,10XXYGH4786J3K5,458008.47,82441.52,0.18,2023-05-29,2023-06-06,PO-3439-TISC,FXHM7550788670183,Net 60,0,none
INV-03023,Datamatics Global,72BCSBC0104B2T5,1662625.29,299272.55,0.18,2024-05-06,2024-05-17,PO-2362-LYNN,MAPT2682906393328,Net 60,0,none
INV-03183,Newgen Software,96WDAOF1307T2B5,452788.2,81501.88,0.18,2024-10-31,2024-11-12,PO-0380-KSKA,ZVAV2798537321913,Net 45,0,none
INV-09949,Trigent Software,36QTNYS5556X2N0,1021619.41,183891.49,0.18,2023-09-06,2023-12-21,PO-9541-XQLG,ECZJ1508087801977,Net 45,1,late_submission
INV-09770,Mindtree Solutions,41KAGCW4268B9S1,247870.76,44616.74,0.18,2025-08-21,2023-03-14,PO-5294-FCRR,LHQZ3386182735187,Net 60,1,future_dated
INV-04182,Persistent Systems,64YNHIH3193U2F2,1503731.66,270671.7,0.18,2023-07-18,2023-07-27,PO-6391-ZNPD,QFQJ7666680899218,Net 30,0,none
INV-06623,Cybage Software,98HJBYU1008W1C4,1028893.37,185200.81,0.18,2023-04-03,2023-04-06,PO-7334-AVHA,WGLM6397054812707,Net 45,0,none
INV-00745,Birlasoft Ltd,60TTQUN5387R6H1,619087.09,111435.68,0.18,2023-07-04,2023-07-17,PO-9382-XPFK,VRVF2849035694298,Net 45,0,none
INV-00511,KALS Info Systems,94MSBNM9654Q1J8,494326.41,88978.75,0.18,2023-05-22,2023-05-27,PO-8046-RGAE,DGBS9006011018028,Net 60,0,none
INV-01683,Subex Ltd,30VHFNS3751Q1W1,2305978.86,415076.19,0.18,2023-05-30,2023-06-02,PO-0630-IHAO,ELVQ0484796554552,Net 45,0,none
INV-03448,Persistent Systems,64YNHIH3193U2F2,1526808.93,274825.61,0.18,2024-09-09,2024-09-11,PO-6427-SARF,QFQJ7666680899218,Net 30,0,none
INV-08213,Rashi Peripherals,81YZTAE9223U6Z3,607563.96,109361.51,0.18,2023-07-24,2023-07-29,PO-1253-YRQS,TIKE0673845888831,Net 30,0,none
INV-00304,Infostretch Corp,54JDQHL2140L0A3,84403.32,15192.6,0.18,2023-06-14,2023-06-19,PO-6169-JAGA,ATOL2872376618802,Net 60,0,none
INV-01593,NIIT Technologies,06ENXBW2738B9L4,1799560.55,323920.9,0.18,2024-06-17,2024-06-29,PO-5728-XXQU,JQRT0779311872435,Net 30,0,none
